Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates (Headcount)
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,3
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,23
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,1
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Religious Workers,1
2012/13,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,6
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,118
2012/13,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,39
2012/13,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,40
2012/13,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,36
2012/13,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,15
2012/13,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,6
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,70
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,"Authors, Journalists and Related Writers",1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,"Economists, Statisticians and Mathematicians",2
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Government Administrators and Diplomats,1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,63
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,4
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Physical and Life Scientists,1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Protective Service Workers,1
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,83
2012/13,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,63
2012/13,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,15
2012/13,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,6
2012/13,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,15
2012/13,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2012/13,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,101
2012/13,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,3
2012/13,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,80
2012/13,The University of Hong Kong,Undergraduate,FT employment,Artists,2
2012/13,The University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",61
2012/13,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,459
2012/13,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,40
2012/13,The University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",63
2012/13,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,14
2012/13,The University of Hong Kong,Undergraduate,FT employment,Engineers,194
2012/13,The University of Hong Kong,Undergraduate,FT employment,Government Administrators and Diplomats,1
2012/13,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),24
2012/13,The University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",18
2012/13,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,6
2012/13,The University of Hong Kong,Undergraduate,FT employment,Managers,32
2012/13,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,362
2012/13,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,40
2012/13,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,6
2012/13,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,18
2012/13,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,23
2012/13,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,18
2012/13,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,22
2012/13,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,57
2012/13,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,163
2012/13,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,277
2012/13,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,541
2012/13,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,52
2012/13,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,104
2012/13,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,7
2013/14,City University of Hong Kong,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",3
2013/14,City University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,1
2013/14,City University of Hong Kong,Research postgraduate,FT employment,Engineers,8
2013/14,City University of Hong Kong,Research postgraduate,FT employment,Legal Workers,1
2013/14,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2013/14,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2013/14,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,41
2013/14,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,1
2013/14,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,33
2013/14,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,7
2013/14,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,2
2013/14,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,102
2013/14,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,4
2013/14,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,7
2013/14,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,29
2013/14,City University of Hong Kong,Sub-degree,FT employment,Engineers,29
2013/14,City University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2013/14,City University of Hong Kong,Sub-degree,FT employment,Other Service Workers,1
2013/14,City University of Hong Kong,Sub-degree,FT employment,Protective Service Workers,2
2013/14,City University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,2
2013/14,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,182
2013/14,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,5
2013/14,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,9
2013/14,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,3
2013/14,City University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2013/14,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,27
2013/14,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,3
2013/14,City University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2013/14,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,173
2013/14,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2013/14,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2013/14,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,85
2013/14,City University of Hong Kong,Undergraduate,FT employment,Artists,52
2013/14,City University of Hong Kong,Undergraduate,FT employment,"Authors, Journalists and Related Writers",71
2013/14,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,690
2013/14,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,164
2013/14,City University of Hong Kong,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",13
2013/14,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,41
2013/14,City University of Hong Kong,Undergraduate,FT employment,Engineers,215
2013/14,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),5
2013/14,City University of Hong Kong,Undergraduate,FT employment,"Insurance, Real Estate, and Business Services",23
2013/14,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,1
2013/14,City University of Hong Kong,Undergraduate,FT employment,Managers,42
2013/14,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,6
2013/14,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,83
2013/14,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,11
2013/14,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,6
2013/14,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,9
2013/14,City University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,5
2013/14,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,19
2013/14,City University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2013/14,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,69
2013/14,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,209
